index,surface,age,ace,df,svpt,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
59839,Clay,27.4,6,3,88,15,1,4,0,60,75,62
59840,Clay,24.2,2,3,41,8,1,4,1,56,70,47
59841,Grass,28.8,8,4,67,11,6,6,1,66,86,47
59842,Clay,22.9,9,8,72,11,3,6,0,60,65,71
59843,Clay,30,4,1,76,10,5,9,0,79,58,47
59844,Clay,24.4,2,7,77,13,9,14,0,58,62,64
59845,Clay,26.4,5,6,113,18,7,11,0,66,67,62
59846,Hard,28,4,2,72,13,5,7,1,53,82,59
59847,Clay,26,0,4,92,15,2,5,1,64,73,55
59848,Hard,24.1,1,2,98,13,10,14,1,57,68,48
59849,Hard,19.9,21,7,150,21,12,16,0,57,76,53
59850,Hard,22,13,8,89,15,3,4,1,49,82,68
59851,Clay,22.9,7,3,61,8,3,6,0,62,61,45
59852,Carpet,22.3,9,5,78,13,8,10,1,63,78,71
59853,Hard,30,16,5,143,20,10,12,1,59,73,64
59854,Hard,23.1,3,0,48,9,1,1,1,56,85,71
59855,Grass,23,15,5,94,15,5,6,1,50,85,60
59856,Clay,25.7,0,3,55,9,3,6,0,67,62,60
59857,Hard,28.4,9,3,66,13,1,3,1,62,85,59
59858,Carpet,25.1,17,4,96,15,1,2,0,67,73,61
59859,Clay,30.6,3,2,32,6,5,11,0,53,35,8
59860,Clay,29,3,7,66,10,8,12,0,65,56,69
59861,Clay,20.7,4,5,90,15,3,5,1,47,79,65
59862,Hard,27.7,1,0,20,4,1,1,1,55,91,78
59863,Clay,29.2,2,2,54,9,1,1,1,54,76,70
59864,Hard,29.8,14,9,114,16,6,8,0,54,77,56
59865,Grass,21.4,4,3,64,9,3,5,0,69,61,71
59866,Clay,32.9,5,1,70,11,3,4,1,49,82,60
59867,Grass,28.8,10,7,142,22,5,11,0,49,72,52
59868,Clay,24.4,4,7,95,15,8,9,1,59,82,59
59869,Hard,19.8,3,2,48,8,4,8,0,58,61,44
59870,Hard,33.1,3,7,77,11,7,11,0,43,79,46
59871,Hard,19.3,5,1,149,19,19,28,0,64,62,31
59872,Hard,24.3,8,5,67,11,2,4,0,61,78,57
59873,Hard,27.7,6,1,55,10,2,3,1,58,84,59
59874,Hard,26.4,6,1,61,11,2,2,1,69,76,83
59875,Hard,33.6,4,4,92,15,3,7,0,50,78,52
59876,Grass,34.1,22,6,100,16,0,0,1,76,83,72
59877,Hard,30.4,2,3,98,14,6,10,0,43,71,47
59878,Clay,28,2,0,35,8,0,0,1,77,96,75
59879,Clay,36.4,11,4,113,17,7,15,0,52,61,44
59880,Hard,29.5,1,1,87,16,0,3,1,69,73,65
59881,Clay,25.5,6,3,73,11,7,9,1,60,73,54
59882,Clay,26.9,9,4,67,12,0,1,1,58,77,75
59883,Grass,30.9,3,3,163,24,7,11,1,70,65,65
59884,Hard,22.4,6,1,62,11,1,1,1,66,85,80
59885,Hard,29.4,8,1,115,17,3,4,1,63,75,69
59886,Hard,22.3,2,1,57,9,0,2,1,56,69,54
59887,Clay,23.8,2,2,64,9,2,2,1,75,73,57
59888,Clay,17.8,4,2,83,13,5,8,0,67,70,48
